time,value
09:30:43,76
09:30:48,76
09:31:03,76
09:31:18,76
09:31:28,75
09:31:43,75
09:31:58,75
09:32:03,74
09:32:13,72
09:32:18,76
09:32:23,79
09:32:28,81
09:32:38,82
09:32:43,86
09:32:48,79
09:32:53,78
09:32:58,76
09:33:03,74
09:33:08,72
09:33:16,71
09:33:31,71
09:33:46,71
09:33:51,70
09:34:06,70
09:34:16,77
09:34:21,78
09:34:31,81
09:34:36,81
09:34:51,81
09:34:56,82
09:35:01,81
09:35:06,81
09:35:11,79
09:35:26,80
09:35:36,79
09:35:41,78
09:35:56,78
09:36:11,78
09:36:16,77
09:36:21,78
09:36:26,78
09:36:36,77
09:36:41,73
09:36:46,73
09:37:01,73
09:37:16,76
09:37:18,76
09:37:23,78
09:37:28,77
09:37:38,78
09:37:43,79
09:37:58,78
09:38:03,77
09:38:08,75
09:38:13,74
09:38:23,75
09:38:28,73
09:38:38,72
09:38:43,73
09:38:53,63
09:38:58,62
09:39:03,61
09:39:08,62
09:39:13,63
09:39:18,69
09:39:23,69
09:39:38,68
09:39:43,71
09:39:48,73
09:39:53,74
09:39:58,73
09:40:13,76
09:40:14,76
09:40:19,77
09:40:24,75
09:40:34,75
09:40:39,75
09:40:44,74
09:40:54,73
09:40:59,73
09:41:09,72
09:41:14,71
09:41:19,74
09:41:24,78
09:41:34,73
09:41:39,74
09:41:49,73
09:41:59,74
09:42:04,75
09:42:09,77
09:42:14,77
09:42:19,77
09:42:34,77
09:42:39,77
09:42:44,74
09:42:49,71
09:42:54,73
09:42:59,75
09:43:04,77
09:43:11,78
09:43:26,77
09:43:31,76
09:43:36,76
09:43:41,75
09:43:46,75
09:43:51,77
09:43:56,75
09:44:01,77
09:44:06,77
09:44:21,77
09:44:26,76
09:44:41,76
09:44:56,75
09:45:06,75
09:45:21,75
09:45:26,77
09:45:41,79
09:45:46,82
09:45:51,81
09:45:56,79
09:46:01,78
09:46:11,74
09:46:16,73
09:46:21,74
09:46:26,76
09:46:31,76
09:46:38,75
09:46:43,74
09:46:58,74
09:47:03,74
09:47:18,74
09:47:33,74
09:47:48,72
09:47:58,71
09:48:08,68
09:48:23,68
09:48:38,68
09:48:43,66
09:48:48,68
09:48:53,70
09:48:58,71
09:49:03,70
09:49:18,68
09:49:33,68
09:49:48,69
09:49:53,71
09:50:03,72
09:50:08,73
09:50:23,72
09:50:38,71
09:50:43,72
09:50:48,72
09:50:53,72
09:51:00,73
09:51:05,72
09:51:20,72
09:51:25,71
09:51:40,71
09:51:45,70
09:51:55,74
09:52:00,75
09:52:10,74
09:52:15,72
09:52:30,73
09:52:35,72
09:52:40,71
09:52:55,72
09:53:05,73
09:53:15,73
09:53:30,73
09:53:35,73
09:53:50,72
09:53:55,71
09:54:05,70
09:54:10,70
09:54:15,70
09:54:25,69
09:54:35,70
09:54:40,71
09:54:45,71
09:54:52,71
09:54:57,70
09:55:02,71
09:55:07,72
09:55:12,68
09:55:17,65
09:55:22,65
09:55:32,65
09:55:42,64
09:55:47,63
09:55:52,64
09:55:57,63
09:56:07,64
09:56:12,69
09:56:27,68
09:56:32,67
09:56:47,68
09:56:52,67
09:57:02,65
09:57:07,69
09:57:12,70
09:57:22,69
09:57:32,68
09:57:37,66
09:57:42,65
09:57:57,65
09:58:12,65
09:58:14,65
09:58:19,65
09:58:34,65
09:58:39,64
09:58:44,63
09:58:49,61
09:58:54,62
09:58:59,62
09:59:04,61
09:59:14,66
09:59:24,65
09:59:29,64
09:59:34,63
09:59:49,63
10:00:04,63
10:00:09,62
10:00:14,62
10:00:19,63
10:00:24,64
10:00:34,63
10:00:39,66
10:00:44,68
10:00:49,73
10:00:54,76
10:01:09,75
10:01:24,75
10:01:39,74
10:01:41,74
10:01:46,74
10:01:51,72
10:02:06,73
10:02:11,74
10:02:16,76
10:02:26,77
10:02:31,79
10:02:36,80
10:02:46,80
10:03:01,80
10:03:16,82
10:03:21,83
10:03:26,84
10:03:36,82
10:03:41,79
10:03:46,78
10:04:01,74
10:04:06,73
10:04:16,71
10:04:21,69
10:04:36,69
10:04:51,69
10:05:01,68
10:05:16,66
10:05:31,66
10:05:46,66
10:05:48,66
10:05:58,64
10:06:08,65
10:06:13,61
10:06:28,61
10:06:33,60
10:06:38,65
10:06:43,66
10:06:48,65
10:06:53,67
10:07:08,67
10:07:18,66
10:07:28,65
10:07:33,64
10:07:38,62
10:07:43,61
10:07:48,61
10:07:53,61
10:08:03,62
10:08:08,61
10:08:23,61
10:08:38,61
10:08:53,61
10:09:08,61
10:09:18,62
10:09:28,63
10:09:33,66
10:09:40,66
10:09:45,67
10:09:50,68
10:10:00,68
10:10:05,67
10:10:10,68
10:10:25,68
10:10:30,66
10:10:35,65
10:10:45,65
10:11:00,65
10:11:05,66
10:11:15,67
10:11:20,66
10:11:25,67
10:11:30,68
10:11:35,67
10:11:40,66
10:11:55,66
10:12:10,66
10:12:15,66
10:12:25,67
10:12:35,66
10:12:40,66
10:12:45,65
10:12:55,65
10:13:05,66
10:13:12,65
10:13:17,67
10:13:32,67
10:13:47,73
10:13:52,73
10:13:57,74
10:14:02,72
10:14:17,72
10:14:22,72
10:14:27,73
10:14:32,77
10:14:37,78
10:14:52,78
10:15:02,77
10:15:07,76
10:15:12,75
10:15:17,68
10:15:22,66
10:15:27,65
10:15:32,64
10:15:47,63
10:15:52,63
10:16:07,63
10:16:12,62
10:16:27,63
10:16:32,64
10:16:37,65
10:16:44,74
10:16:49,75
10:17:04,74
10:17:14,76
10:17:19,75
10:17:34,75
10:17:39,79
10:17:44,78
10:17:54,77
10:17:59,76
10:18:09,75
10:18:19,74
10:18:24,73
10:18:34,70
10:18:44,71
10:18:49,71
10:18:59,72
10:19:04,74
10:19:09,75
10:19:14,76
10:19:19,77
10:19:24,76
10:19:29,73
10:19:34,69
10:19:39,66
10:19:49,65
10:20:04,68
10:20:06,68
10:20:11,66
10:20:26,66
10:20:36,66
10:20:41,67
10:20:46,68
10:20:56,72
10:21:01,62
10:21:16,61
10:21:21,60
10:21:26,59
10:21:41,59
10:21:46,60
10:21:56,61
10:22:01,63
10:22:06,64
10:22:11,67
10:22:16,68
10:22:21,70
10:22:36,70
10:22:46,69
10:22:56,68
10:23:06,66
10:23:21,66
10:23:26,65
10:23:36,64
10:23:43,64
10:23:48,63
10:24:03,64
10:24:13,65
10:24:28,66
10:24:33,69
10:24:38,70
10:24:48,71
10:24:53,72
10:24:58,74
10:25:13,73
10:25:18,72
10:25:33,72
10:25:43,72
10:25:53,72
10:25:58,71
10:26:03,71
10:26:08,69
10:26:13,69
10:26:28,68
10:26:33,69
10:26:38,69
10:26:43,67
10:26:48,63
10:26:58,62
10:27:13,62
10:27:18,67
10:27:25,68
10:27:30,67
10:27:40,62
10:27:45,63
10:27:50,63
10:27:55,65
10:28:00,65
10:28:10,63
10:28:15,62
10:28:25,61
10:28:40,61
10:28:45,61
10:28:50,62
10:28:55,62
10:29:10,63
10:29:15,64
10:29:20,63
10:29:25,62
10:29:40,62
10:29:45,63
10:29:50,65
10:29:55,66
10:30:00,66
10:30:05,67
10:30:10,71
10:30:15,71
10:30:20,71
10:30:26,71
10:30:36,70
10:30:51,71
10:30:56,73
10:31:01,74
10:31:06,73
